Nodes;p_a;p{cycle_failure};p{cycle_success};p{rts_collision};p{rts_success};p{wait};idle_time;backoff_time;rts_time;cts_time;out_time;data_time;wait_time;Cycle_time;time_between_tx;time_w/o_tx;tau;tau_data
14;1.0;0.1088625891748824;0.8911374108251175;0.573817882424476;0.42618211757552404;0.0;3.1999999999986213;71.33545386593738;6.694588478873077;2.851639714639141;3.8429487642339324;14.258198573201286;0.0;105.03446911152255;239.99999999999818;5878.3801972627425;0.063737062085447;0.13574780444753182
15;1.0;0.12887065162526867;0.8711293483747312;0.5986210084501816;0.4013789915498185;0.0;3.1999999999986244;75.87732810515514;6.948861038540399;2.787613914797935;4.161247123742464;13.938069573995117;0.0;109.70073367102765;239.99999999999838;6242.893142167219;0.0633437973111352;0.1270553906758074
16;1.0;0.15034466780363873;0.8496553321963612;0.6222561016252006;0.3777438983747993;0.0;3.199999999998622;80.35607531957949;7.202028565116904;2.718897063027176;4.483131502089726;13.59448531514121;0.0;114.27351482798025;239.99999999999923;6602.940511625086;0.06302447750870671;0.11896444539756604
17;1.0;0.17243050973758528;0.8275694902624149;0.6437809753096134;0.35621902469038674;0.0;3.1999999999986213;84.612235544558;7.43857809341711;2.6482223688385766;4.790355724578533;13.241111844198075;0.0;118.57872594442749;239.9999999999999;6945.194345185136;0.06273113523671386;0.11166515526911285
18;1.0;0.19651265412865485;0.8034873458713453;0.6651229679261242;0.3348770320738759;0.0;3.199999999998623;88.96616037420502;7.682793719750131;2.57115950678719;5.111634212962942;12.855797533940981;0.0;122.95870485443209;240.00000000000014;7295.834594037491;0.06248271506149653;0.10455378128096467
19;1.0;0.22080596671243252;0.7791940332875676;0.684871029807907;0.3151289701920933;0.0;3.199999999998618;93.27405555504674;7.9175148849656924;2.4934209065191264;5.424093978446566;12.467104532600551;0.0;127.26961076409637;240.0000000000004;7642.3612150118915;0.06221056886581818;0.09795822001616121
20;1.0;0.24574935201971423;0.7542506479802857;0.703574019096457;0.29642598090354294;0.0;3.199999999998622;97.34717007901811;8.14764120169378;2.413602073535864;5.734039128157918;12.068010367684055;0.0;131.32406492362423;240.00000000000065;7971.090690538101;0.06204225559445106;0.09189488898856882
21;1.0;0.27059997016550974;0.7294000298344907;0.7207992745405999;0.2792007254594;0.0;3.199999999998623;101.32598093444278;8.365668089627313;2.334080095469353;6.031587994157958;11.670400477351349;0.0;135.26179768651673;240.00000000000168;8291.817669644952;0.06184797357947007;0.08628009295276937
22;1.0;0.2946509551525443;0.7053490448474555;0.7365228488948022;0.2634771511051978;0.0;3.199999999998623;105.19759093921803;8.572798075023437;2.257116943510874;6.3156811315125605;11.28558471755881;0.0;139.08588875033323;240.00000000000168;8603.49540530469;0.06163672067704926;0.08114111948349449
23;1.0;0.3205658029007614;0.6794341970992385;0.7521698404919145;0.2478301595080857;0.0;3.199999999998624;109.01709432818679;8.77950754074878;2.174189430716619;6.6053181100321625;10.87094715358736;0.0;142.82124599398693;240.00000000000168;8911.68093286632;0.06147199934888129;0.07611575629332522
24;1.0;0.3457875735668055;0.6542124264331944;0.7663921436908235;0.2336078563091766;0.0;3.1999999999986253;112.43740178750625;8.968158359414248;2.093479764585309;6.874678594828932;10.467398822930667;0.0;146.13459709384935;240.00000000000168;9188.406028675032;0.06136916608224398;0.0716284783418425
25;1.0;0.3714116858405513;0.6285883141594487;0.780366018367688;0.2196339816323119;0.0;3.1999999999986213;116.09840379306398;9.165223591579476;2.0114826053093564;7.153740986270119;10.057413026550748;0.0;149.69774660808173;240.00000000000168;9483.91085844996;0.061224860088072125;0.06718479906635935
26;1.0;0.3959740057077979;0.6040259942922026;0.7930341001192474;0.20696589988075284;0.0;3.199999999998624;119.49930617211879;9.346114469932782;1.9328831817342025;7.413231288198579;9.664415908674826;0.0;152.98883420239193;240.00000000000168;9758.440309523701;0.06109017379378565;0.0631707271910418
27;1.0;0.4203874581501555;0.579612541849845;0.8050052053994387;0.19499479460056118;0.0;3.1999999999986213;122.74480363322955;9.519766404912074;1.854760133918691;7.665006270993378;9.273800669597117;0.0;156.11289724656814;240.00000000000168;10020.735742816618;0.060980012368077104;0.05940444917212621
28;1.0;0.4448108069646848;0.555189193035315;0.8164761488037867;0.1835238511962132;0.0;3.1999999999986244;125.85867068664153;9.68846508120057;1.7766054177122301;7.9118596634883325;8.883027088564662;0.0;159.09523335531816;240.00000000000168;10272.789776259635;0.06089726811338631;0.055834652624227876
29;1.0;0.46943350164067177;0.5305664983593283;0.8275055381386153;0.17249446186138476;0.0;3.1999999999986253;128.96049965120724;9.851107050513304;1.6978127947491093;8.153294255764193;8.489063973748891;0.0;162.04959052073048;240.00000000000168;10523.53454302275;0.06079069387869317;0.05238559348696974
